Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,avg val received,avg val sent,total Ether sent,total ether received,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent token name, ERC20 uniq rec token name,unique_sent_addresses,unique_received_addresses,failed_tx_ratio,avg_gas_used,total_tx_count,sent_received_ratio,erc20_total_txs,address,FLAG,goplus_flags,source
44.1,61.41666666666666,65.41666666666667,2,2,0,7.5,7.4995,14.999,15.0,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,21000.0,4,1.0,0,0x68a91eba9c82b475091077e16357bb2dded479f4,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x64c5971dd27ff063ee4bc5e4c231febd9fc228cd,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x484aa220812a5ed3d1162686bc8592eb39276348,1,phishing_activities,real_world
0.0,0.0,6349.65,1,1,0,0.03277762,0.0316830753705159,0.0316830753705159,0.03277762,0.000611544629484,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,21000.0,2,1.0,0,0x3810bd434103f1d0618b909ba14e4d2d707d79f7,1,"stealing_attack,phishing_activities",real_world
22.441666666666663,22.208333333333336,46.85,3,3,0,0.0466666666666666,0.0466316666666666,0.139895,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,21000.0,6,1.0,0,0x6834d3096793d0731348f1581ae1b20c9b79e26a,1,"stealing_attack,phishing_activities",real_world
70574.36666666667,33362.76944444444,202965.2333333333,3,7,0,0.9806903085714286,2.2876666666666665,6.863,6.86483216,0.00104025,0.0,0.0,0.0,3.0,0.0,3.0,3,5,0.0,23541.0,10,0.4285714285714285,3,0x0dac7a548551dd2e0f7293005f14f9261d7e0196,1,phishing_activities,real_world
3467.3458333333333,1408.2217948717948,28238.13333333333,9,14,0,1.0807758442857145,1.678766439609027,15.108897956481242,15.130861819999998,0.0176168635187575,0.0,0.0,0.0,1.0,0.0,1.0,4,14,0.0,21000.0,23,0.6428571428571429,1,0x55c4dfc965b911afee18a7d2d94a245b867395b6,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x0e04298d9eaffaf538fe04b4cd525b6d1b64c3ca,1,"stealing_attack,phishing_activities",real_world
4857.575,2038.3,10200.9,3,6,0,0.1001083333333333,0.1996666666666666,0.599,0.60065,0.0014358,0.0,0.0,0.0,1.0,0.0,1.0,1,2,0.0,21000.0,9,0.5,1,0xb5879bf4a37c6ed9d86a6f2d8aab7939b21687cd,1,"stealing_attack,phishing_activities",real_world
30239.63333333333,1418.4708333333333,30244.033333333333,2,9,0,1.4007848096666666,6.3026706435,12.605341287,12.607063287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,0.0,21000.0,11,0.2222222222222222,0,0x4e556877e96fdf3bef67c81ef72e20ab29a9aebf,1,phishing_activities,real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0xc8ce1c3ac9549d479a90a6a89155b9b94e54d9ba,1,phishing_activities,real_world
0.0,1226.0969696969698,31862.8,1,23,0,1.2342315311304348,29.386905216,29.386905216,28.387325216,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1,23,0.0,21000.0,24,0.0434782608695652,4,0xe344e4b209e8eabaa2a6ddd1b0aa120b7599af25,1,"stealing_attack,phishing_activities,cybercrime",real_world
21287.67777777778,70.28333333333333,64237.333333333336,4,2,0,1.015,0.507017,2.028068,2.03,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,1,0.0,21000.0,6,2.0,1,0x0a4392f623faf54de72cbf6f567e1a7808251cd3,1,"stealing_attack,phishing_activities",real_world
205.35,91.0,246.2333333333333,2,2,0,0.3554265,0.3525,0.705,0.710853,0.004887,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,21000.0,4,1.0,0,0xfb990112f51931a2834fcf574a860b7419ecd76f,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x86d38dbde80fe6a947565967f41cf958cc271548,1,"stealing_attack,phishing_activities",real_world
14345.191666666666,14633.791666666668,58975.066666666666,5,3,0,0.3937584711123267,0.235772082667396,1.17886041333698,1.18127541333698,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4,3,0.0,21000.0,8,1.6666666666666667,1,0xa46311dc4d3bc52b66d45e74682042bb143a9aa3,1,"stealing_attack,phishing_activities",real_world
3505.433333333333,3505.3944444444446,84137.1,25,25,0,0.779333030979437,0.778493030979437,19.46232577448592,19.483325774485923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,7,0.0,21000.0,50,1.0,0,0x18ec1d727320cbed7c0c63cd655ade997b292c5e,1,"stealing_attack,phishing_activities",real_world
22920.016666666663,22918.366666666665,22928.283333333333,2,2,0,0.293,0.2923385,0.584677,0.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,21000.0,4,1.0,0,0xdf967ff95cd5ff35a27786dbd906fbb9ded116af,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x300d4fbdb7ef38488eb9338982686e04ba426715,1,phishing_activities,real_world
12140.833333333334,21873.375,114738.7,10,5,0,2.313,1.1555009488318368,11.555009488318367,11.565,0.0051605116816325,0.0,0.0,0.0,4.0,0.0,4.0,3,5,0.0,21000.0,15,2.0,4,0x15a99893dc47bfae5b06e9b4c8941aaca60f8af5,1,"stealing_attack,phishing_activities",real_world
6255.0888888888885,1068.5272727272727,18906.266666666663,4,12,0,0.16875,0.505767,2.023068,2.0250000000000004,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2,10,0.0,21000.0,16,0.3333333333333333,1,0x8c38a4e5104a2925d9e23d5f269afd1c2e09b8f9,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,127.88333333333334,1,1,0,2.02,2.019958,2.019958,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.0,21000.0,2,1.0,0,0x43f030a549f780d1af59a782eaadce4dec7ba183,1,"stealing_attack,phishing_activities",real_world
11488.675,11489.908333333333,22984.766666666663,3,3,0,0.2051583333333333,0.2043183333333333,0.6129549999999999,0.615475,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3,3,0.0,21000.0,6,1.0,1,0x2903e9f1d81fac8ccc313b5b496f2db7db6750b6,1,phishing_activities,real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x72b59c7ff61130f4923e2da6af27d562dd64191c,1,phishing_activities,real_world
9137.738095238095,9585.555555555557,64366.26666666667,8,7,0,0.3676873409767891,0.3212259195506448,2.5698073564051582,2.573811386837524,0.0001400304323654,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0.0,21000.0,15,1.1428571428571428,0,0x5bc989f38ec9b913b0fbd8b702858214d428a1bd,1,"stealing_attack,phishing_activities",real_world
13890.696666666669,13349.938888888886,138932.33333333334,11,10,0,0.5083515714,0.4616547921818181,5.078202714,5.083515714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9,0.0,21000.0,21,1.1,0,0xdb21509547c82b69e714bf3a761e6d64f0f91cd0,1,"stealing_attack,phishing_activities",real_world
0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0x101c55c14bbde713d4c718b67256133bac8126c6,1,phishing_activities,real_world
12373.96111111111,7797.2625,37149.083333333336,4,5,0,0.4172944507080077,0.5171464099466918,2.0685856397867672,2.086472253540039,0.015954613753272,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0.0,21000.0,9,0.8,0,0x56f0e244ea07e894170731285daf8cf4864e368e,1,phishing_activities,real_world
7284.928888888888,7284.5,109278.95,16,16,0,0.761563093019898,0.760723093019898,12.171569488318369,12.185009488318368,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8,9,0.0,21000.0,32,1.0,1,0x5e0f56a3e977318b69303c12369b2a797dfa2b0b,1,phishing_activities,real_world
997.6630769230768,561.2850000000001,64854.38333333333,66,21,0,17.48633951434014,5.559411966969697,366.92118982,367.2131298011429,0.2324582671429468,0.0,0.0,5.0,47.0,34.0,49.0,47,17,0.0,36457.057471264365,87,3.142857142857143,140,0xD0cC2B24980CBCCA47EF755Da88B220a82291407,1,"stealing_attack,phishing_activities,cybercrime",real_world
0.0,50351.51666666667,50351.51666666667,0,2,0,0.0067706335,0.0,0.0,0.013541267,0.013541267,0.0,0.0,0.0,1.0,0.0,1.0,0,2,0.0,21000.0,2,0.0,1,0x4cdc1cba0aeb5539f2e0ba158281e67e0e54a9b1,1,"stealing_attack,phishing_activities,cybercrime",real_world
29912.532142857144,531.5857142857143,429867.15,15,22,0,9.100749739548467,13.330000000000002,199.95,200.2164942700664,0.2422286850663733,0.0,0.0,1.0,38.0,3.0,34.0,13,21,0.054054054054054,24097.5945945946,37,0.6818181818181818,54,0x00e01A648Ff41346CDeB873182383333D2184dd1,1,"stealing_attack,phishing_activities,cybercrime",real_world
468.1106481481481,459.4298484848484,50572.36666666667,109,111,0,14.689886658856665,14.959357798165136,1630.5700000000002,1630.5774191330895,0.0564739825979703,0.0,0.0,14.0,115.0,34.0,44.0,54,104,0.05,33925.88636363636,220,0.981981981981982,214,0x858457daa7e087ad74cdeeceab8419079bc2ca03,1,"stealing_attack,phishing_activities,cybercrime",real_world
